Card_Name,Bank_Name,Annual_Fee,Joining_Fee,Reward_Rate,Lounge_Access,Forex_Markup,Minimum_Income_LPA,Reward_Value_Per_Point_INR,Spend_Based_Fee_Waiver,Milestone_Rewards,Third_Party_Tieups,Reward_Description,Bank,Reward_Description_Clean,Annual_Fee_INR,Joining_Fee_INR,Min_Income_LPA,Spend_Based_Fee_Waiver_INR,Reward_Points,Reward_Spend_Required,Reward_Rate_Per_Rupee,Reward_Cashback_Percent,Milestone_Reward_Value,Lounge_Domestic,Lounge_International,International_Usage,Reward_Type,is_amazon_corp_partner,is_bookmyshow_corp_partner,is_cleartrip_corp_partner,is_flipkart_corp_partner,is_makemytrip_corp_partner,is_reliance_corp_partner,is_swiggy_corp_partner,is_tata_corp_partner,is_zomato_corp_partner,Merchant_Partner_Count,Milestone_Reward,ERV,Annual_Reward_Value_Estimate,Experiential_Benefits,Net_Fee,Net_Annual_Value,Effective_Reward_Rate_Index,Net_Value_Index,Travel_Benefit_Index,Lifestyle_Benefit_Index,Fee_to_Value_Ratio,Annual_Fee_INR_scaled,Joining_Fee_INR_scaled,Min_Income_LPA_scaled,Reward_Rate_Per_Rupee_scaled,Reward_Value_Per_Point_INR_scaled,ERV_scaled,Annual_Reward_Value_Estimate_scaled,Net_Annual_Value_scaled,Travel_Benefit_Index_scaled,Lifestyle_Benefit_Index_scaled,Effective_Reward_Rate_Index_scaled,Net_Value_Index_scaled,Fee_to_Value_Ratio_scaled,Forex_Markup_scaled,Card_Segment_Cluster,Card_Segment_Hierarchy,Card_Segment
Kotak White Reserve Credit Card,Kotak,0,0,6.0,2006.0,0.0,50.0,1.0,0,0,Taj Marriott Priority Pass,Super premium invite-only card. 6% rewards on international spends. Zero forex markup. Unlimited lounge access worldwide.,Kotak,Super premium invite-only card. 6% rewards on international spends. Zero forex markup. Unlimited lounge access worldwide.,0.0,0.0,50.0,0.0,6.0,100.0,0.06,6.0,6.0,2000.0,6.0,1,general,0,0,0,0,0,0,0,0,0,0,6.0,0.06,24000.0,2813800.0,0.0,2837806.0,600.0,7.094515,2014.0,0,0.0,-0.39164924831992637,-0.3847591583654301,3.924808853446215,-0.4500602822819738,1.9906199205553938,-0.3852814492800937,-0.3874507027643409,1.836691320738791,2.1690861402460557,-0.49794729611604754,-0.38528144928009367,1.836691320738791,-0.09983368891752412,-2.9399328103983384,1,0,Premium
Standard Chartered Smart Credit Card,StandardChartered,499,499,2.0,0.0,3.5,3.0,1.0,144000,0,Online merchants,"2% cashback on online spends up to Rs.1000/month, 1% on offline. Fee waived if spending above Rs.1.44L/year.",StandardChartered,"2% cashback on online spends up to Rs.1000/month, 1% on offline. Fee waived if spending above Rs.1.44L/year.",499.0,499.0,3.0,144000.0,2.0,100.0,0.02,2.0,1000.0,0.0,0.0,0,ecommerce,0,0,0,0,0,0,0,0,0,0,1000.0,0.02,8300.0,0.0,0.0,9300.0,200.0,0.02325,0.0,0,0.053655913978494625,-0.33120807613043723,-0.3243744928504826,-0.43114291028133567,-0.46521172652379716,1.9906199205553938,-0.4339707637529763,-0.4330832043473414,-0.5462806260853154,-0.4674379541314951,-0.49794729611604754,-0.4339707637529763,-0.5462806260853154,-0.09947038547328038,0.5998851097102851,0,1,Entry_Level
Standard Chartered Rewards Credit Card,StandardChartered,1000,1000,4.0,4.0,3.5,4.0,0.25,150000,0,Travel Dining,4 reward points per Rs.150. 10X on travel and dining. 4 airport lounge visits. Annual fee waiver on 1.5L spend.,StandardChartered,4 reward points per Rs.150. 10X on travel and dining. 4 airport lounge visits. Annual fee waiver on 1.5L spend.,1000.0,1000.0,4.0,150000.0,4.0,150.0,0.02666666666666667,400.0,1.5,4.0,0.0,0,travel,0,0,0,0,0,0,0,0,0,0,1.5,0.006666666666666667,2900.0000000000005,5600.0,0.0,8501.5,66.66666666666667,0.02125375,4.0,0,0.11762630124095748,-0.2705246547538158,-0.2637478046280603,-0.338463085521175,-0.46268648581682664,-0.5926273045928272,-0.45020053524393716,-0.44877845966888297,-0.5469533498128022,-0.462201560696783,-0.49794729611604754,-0.45020053524393716,-0.5469533498128023,-0.09903724287447246,0.5998851097102851,0,1,Entry_Level
Standard Chartered EaseMyTrip Credit Card,StandardChartered,350,350,10.0,4.0,3.5,2.5,0.25,50000,0,EaseMyTrip,10% off on EaseMyTrip flights and hotels. 3X points on other travel. 4 airport lounge visits. Best budget travel card.,StandardChartered,10% off on EaseMyTrip flights and hotels. 3X points on other travel. 4 airport lounge visits. Best budget travel card.,350.0,350.0,2.5,50000.0,10.0,100.0,0.1,10.0,0.0,4.0,0.0,0,travel,0,0,0,0,0,0,0,0,0,0,0.0,0.025,10875.0,5600.0,0.0,16475.0,250.0,0.0411875,4.0,0,0.021244309559939303,-0.3492556405717877,-0.3424051845573507,-0.47748282266141595,-0.4349088380401504,-0.5926273045928272,-0.427884599443866,-0.42559889278197666,-0.540235801107584,-0.462201560696783,-0.49794729611604754,-0.4278845994438659,-0.5402358011075841,-0.09968984399417047,0.5998851097102851,0,1,Entry_Level
IndusInd Bank Pinnacle Credit Card,IndusInd,25000,25000,6.0,2000.0,1.8,40.0,1.0,2000000,25000,Taj Ritz Carlton Marriott,Unlimited airport lounge access. 6 reward points per Rs.150. Low 1.8% forex markup. 24x7 concierge. Premium lifestyle privileges.,IndusInd,Unlimited airport lounge access. 6 reward points per Rs.150. Low 1.8% forex markup. 24x7 concierge. Premium lifestyle privileges.,25000.0,25000.0,40.0,2000000.0,6.0,150.0,0.04,600.0,25000.0,2000.0,0.0,1,general,0,0,0,0,0,0,0,0,0,0,25000.0,0.04,16000.0,2800000.0,25000.0,2816000.0,400.0,7.04,2002.0,0,0.00887784090909091,2.6364655908328376,2.6405246850688147,2.9980106058446085,-0.4576360044028855,1.9906199205553938,-0.409626106516535,-0.41070293287032844,1.8183201077123923,2.1533769599419195,-0.49794729611604754,-0.40962610651653497,1.8183201077123923,-0.09977357718070767,-1.1194550229139035,1,0,Premium
IndusInd Bank Celesta Credit Card,IndusInd,10000,10000,2.0,2006.0,2.0,20.0,0.5,1200000,10000,Marriott ITC Vistara Emirates,Unlimited lounge access. Complimentary golf. 2 reward points per Rs.100. Strong international travel benefits.,IndusInd,Unlimited lounge access. Complimentary golf. 2 reward points per Rs.100. Strong international travel benefits.,10000.0,10000.0,20.0,1200000.0,2.0,100.0,0.02,200.0,10000.0,2000.0,6.0,1,travel,0,0,0,0,0,0,0,0,0,0,10000.0,0.01,4350.0,2813800.0,10000.0,2818150.0,100.0,7.045375,2014.0,0,0.00354842715966148,0.8195966873411793,0.8253543790082677,1.1444141106413956,-0.46521172652379716,0.2684551037899132,-0.4461430923711969,-0.4445639929621727,1.820131448994918,2.1690861402460557,-0.49794729611604754,-0.4461430923711969,1.820131448994918,-0.09980966256677982,-0.9171797131934107,1,0,Premium
IndusInd Bank Platinum Aura Edge Credit Card,IndusInd,1499,1499,1.5,4.0,3.5,4.0,0.4,150000,0,Travel Dining Lifestyle,Choose your own rewards category. 1.5% rewards across all spends. 4 lounge visits. Dining and movie perks.,IndusInd,Choose your own rewards category. 1.5% rewards across all spends. 4 lounge visits. Dining and movie perks.,1499.0,1499.0,4.0,150000.0,1.5,100.0,0.015,1.5,1.5,4.0,0.0,0,dining,0,0,0,0,0,0,0,0,0,0,1.5,0.006,2544.0,5600.0,0.0,8145.5,60.0,0.02036375,4.0,0,0.18402799091522926,-0.21008348256432666,-0.2033631391131128,-0.338463085521175,-0.4671056570540251,-0.0759778595631829,-0.4510120238184852,-0.4498131839085994,-0.5472532742298157,-0.462201560696783,-0.49794729611604754,-0.45101202381848515,-0.5472532742298158,-0.09858763796098732,0.5998851097102851,0,1,Entry_Level
IndusInd Bank Legend Credit Card,IndusInd,3999,3999,2.0,8.0,2.5,8.0,0.5,400000,4000,Oberoi Marriott EazyDiner,2 reward points per Rs.100. 8 airport lounge visits. Luxury hotel dining offers. Golf benefits. Travel insurance.,IndusInd,2 reward points per Rs.100. 8 airport lounge visits. Luxury hotel dining offers. Golf benefits. Travel insurance.,3999.0,3999.0,8.0,400000.0,2.0,100.0,0.02,200.0,4000.0,8.0,0.0,1,travel,0,0,0,0,0,0,0,0,1,1,4000.0,0.01,4350.0,12400.0,0.0,20750.0,100.0,0.051875,10.0,1,0.19272289156626507,0.09272800135094976,0.09916524523031169,0.03225621351946765,-0.46521172652379716,0.2684551037899132,-0.4461430923711969,-0.4445639929621727,-0.5366341806504688,-0.4543469705447148,0.5827042826889919,-0.4461430923711969,-0.5366341806504689,-0.09852876491010341,-0.4114914388921788,0,1,Entry_Level
YES Bank Marquee Credit Card,YESBank,9999,9999,24.0,2000.0,1.5,20.0,0.25,1000000,20000,Amazon Swiggy Zomato BookMyShow,24 YES Reward Points per Rs.100 on select categories. Unlimited lounge access. Low 1.5% forex. Best rewards rate in India.,YESBank,24 YES Reward Points per Rs.100 on select categories. Unlimited lounge access. Low 1.5% forex. Best rewards rate in India.,9999.0,9999.0,20.0,1000000.0,1.5,100.0,0.015,1.5,20000.0,2000.0,0.0,1,general,1,1,0,0,0,0,1,0,1,4,20000.0,0.00375,1500.0,2804800.0,9999.0,2816301.0,37.5,7.0407525,2002.0,4,0.003550401750381085,0.8194755627476131,0.8252333676545304,1.1444141106413956,-0.4671056570540251,-0.5926273045928272,-0.45375079775758487,-0.4528475999374308,1.8185736954919458,2.1533769599419195,3.82465901910411,-0.4537507977575848,1.8185736954919458,-0.09980964919685363,-1.4228679874946426,1,0,Premium
YES Bank Premia Credit Card,YESBank,2999,2999,12.0,8.0,2.5,8.0,0.25,400000,5000,Amazon Swiggy Zomato,"12 reward points per Rs.100 on Amazon, Swiggy, Zomato. 6 on other online. 8 airport lounge visits. Strong online rewards card.",YESBank,"12 reward points per Rs.100 on Amazon, Swiggy, Zomato. 6 on other online. 8 airport lounge visits. Strong online rewards card.",2999.0,2999.0,8.0,400000.0,12.0,100.0,0.12,1200.0,5000.0,8.0,0.0,1,dining,1,0,0,0,0,0,1,0,1,3,5000.0,0.03,12720.0,14800.0,0.0,32520.0,300.0,0.0813,10.0,3,0.09222017220172202,-0.02839659221516081,-0.021846108507058107,0.03225621351946765,-0.4273331159192388,-0.5926273045928272,-0.4217984351347557,-0.4202363472137833,-0.5267181402340371,-0.4543469705447148,2.7440074402990704,-0.4217984351347556,-0.5267181402340371,-0.09920926741940063,-0.4114914388921788,3,3,Mid_Tier
YES Bank BYOC Credit Card,YESBank,0,0,1.0,0.0,3.5,1.5,0.25,0,0,,Build Your Own Credit (BYOC). Lifetime free. Secured against FD. Best for those building credit score from scratch.,YESBank,Build Your Own Credit (BYOC). Lifetime free. Secured against FD. Best for those building credit score from scratch.,0.0,0.0,1.5,0.0,,,1.0,100.0,0.0,0.0,0.0,0,general,0,0,0,0,0,0,0,0,0,0,0.0,0.25,100000.0,0.0,0.0,100000.0,2500.0,0.25,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.5701626474215766,-0.09400134259912422,-0.5926273045928272,-0.15400720553390132,-0.16655451675745964,-0.46986729849225156,-0.4674379541314951,-0.49794729611604754,-0.15400720553390132,-0.4698672984922516,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
RBL Bank Edition Credit Card,RBL,5000,5000,10.0,12.0,2.0,12.0,0.3,500000,5000,Postcard Hotels ITC Taj,10 reward points per Rs.100. 12 airport lounge visits. Complimentary hotel stays as milestones. Luxury travel benefits.,RBL,10 reward points per Rs.100. 12 airport lounge visits. Complimentary hotel stays as milestones. Luxury travel benefits.,5000.0,5000.0,12.0,500000.0,10.0,100.0,0.1,1000.0,5000.0,12.0,0.0,1,travel,0,0,0,0,0,0,0,0,0,0,5000.0,0.03,13050.0,16800.0,5000.0,29850.0,300.0,0.074625,14.0,0,0.16750418760469013,0.21397371951062644,0.22029761032141884,0.40297551256011027,-0.4349088380401504,-0.4204108229162792,-0.4217984351347557,-0.41927719272191133,-0.5289675733616388,-0.4491105771100027,-0.49794729611604754,-0.4217984351347556,-0.5289675733616389,-0.09869952040244813,-0.9171797131934107,0,1,Entry_Level
RBL Bank ShopRite Credit Card,RBL,0,0,5.0,0.0,3.5,2.0,0.25,0,0,Shopper Stop Grocery,5X reward points on grocery and movie purchases. 1X on all other eligible spends. Zero annual fee. Good for grocery shoppers.,RBL,5X reward points on grocery and movie purchases. 1X on all other eligible spends. Zero annual fee. Good for grocery shoppers.,0.0,0.0,2.0,0.0,,,5.0,500.0,1.0,0.0,0.0,0,general,0,0,0,0,0,0,0,0,0,0,1.0,1.25,500000.0,0.0,0.0,500001.0,12500.0,1.2500025,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.5238227350414963,1.4211430815832145,-0.5926273045928272,1.063225656288164,0.9960569885419157,-0.13287272902639596,-0.4674379541314951,-0.49794729611604754,1.0632256562881635,-0.13287272902639605,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
RBL Bank Popcorn Credit Card,RBL,0,0,0.0,0.0,3.5,1.5,0.1,0,0,BookMyShow,Up to 10% off on BookMyShow tickets. 1 free movie ticket per month. Best zero-fee entertainment card for movie buffs.,RBL,Up to 10% off on BookMyShow tickets. 1 free movie ticket per month. Best zero-fee entertainment card for movie buffs.,0.0,0.0,1.5,0.0,10.0,100.0,0.1,10.0,0.0,0.0,0.0,0,general,0,1,0,0,0,0,0,0,0,1,0.0,0.010000000000000002,4000.000000000001,1200.0,0.0,5200.000000000001,100.00000000000001,0.013000000000000003,0.0,1,0.0,-0.39164924831992637,-0.3847591583654301,-0.5701626474215766,-0.4349088380401504,-1.1092767496224714,-0.4461430923711969,-0.4455812780293097,-0.5497348117868761,-0.4674379541314951,0.5827042826889919,-0.4461430923711969,-0.5497348117868762,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
HSBC Premier Credit Card,HSBC,0,0,4.0,2004.0,0.0,30.0,0.3,0,0,Marriott Priority Pass,Unlimited airport lounge access via Priority Pass. Zero forex charges. 4 reward points per Rs.100. Exclusive for HSBC Premier banking customers.,HSBC,Unlimited airport lounge access via Priority Pass. Zero forex charges. 4 reward points per Rs.100. Exclusive for HSBC Premier banking customers.,0.0,0.0,30.0,0.0,4.0,100.0,0.04,400.0,0.0,2000.0,4.0,1,general,0,0,0,0,0,0,0,0,0,0,0.0,0.012,4800.0,2809200.0,0.0,2814000.0,120.0,7.035,2010.0,0,0.0,-0.39164924831992637,-0.3847591583654301,2.071212358243002,-0.4576360044028855,-0.4204108229162792,-0.4437086266475528,-0.4432560550187109,1.8166351390774846,2.163849746811344,-0.49794729611604754,-0.4437086266475528,1.8166351390774846,-0.09983368891752412,-2.9399328103983384,1,0,Premium
HSBC Visa Platinum Credit Card,HSBC,0,0,2.0,0.0,3.5,4.0,0.25,0,1000,Dining Travel,Lifetime free. 2 reward points per Rs.100. 3X on first 60 days. 5% cashback on first EMI transactions. Good no-fee starter card.,HSBC,Lifetime free. 2 reward points per Rs.100. 3X on first 60 days. 5% cashback on first EMI transactions. Good no-fee starter card.,0.0,0.0,4.0,0.0,2.0,100.0,0.02,200.0,1000.0,0.0,0.0,0,cashback,0,0,0,0,0,0,0,0,0,0,1000.0,0.005,2000.0,0.0,0.0,3000.0,50.0,0.0075,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.338463085521175,-0.46521172652379716,-0.5926273045928272,-0.4522292566803073,-0.45139433555580655,-0.5515882772852745,-0.4674379541314951,-0.49794729611604754,-0.4522292566803072,-0.5515882772852746,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
Federal Bank Signet Credit Card,FederalBank,0,0,3.0,4.0,3.5,3.0,0.25,0,0,Dining Travel,Lifetime free card. 3 reward points per Rs.100. 4 airport lounge visits/year. Best no-fee card with lounge access.,FederalBank,Lifetime free card. 3 reward points per Rs.100. 4 airport lounge visits/year. Best no-fee card with lounge access.,0.0,0.0,3.0,0.0,3.0,100.0,0.03,300.0,0.0,4.0,0.0,0,general,0,0,0,0,0,0,0,0,0,0,0.0,0.0075,3000.0,5600.0,0.0,8600.0,75.0,0.0215,4.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.43114291028133567,-0.46142386546334135,-0.5926273045928272,-0.4491861745257521,-0.4484878067925581,-0.546870365107533,-0.462201560696783,-0.49794729611604754,-0.4491861745257521,-0.5468703651075331,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
Federal Bank Celesta Credit Card,FederalBank,7500,7500,4.0,2000.0,2.0,15.0,0.5,800000,10000,Travel Lifestyle,4 reward points per Rs.100. Unlimited lounge access. Low forex. Premium lifestyle privileges. Milestone bonus on 5L and 8L spend.,FederalBank,4 reward points per Rs.100. Unlimited lounge access. Low forex. Premium lifestyle privileges. Milestone bonus on 5L and 8L spend.,7500.0,7500.0,15.0,800000.0,4.0,100.0,0.04,400.0,10000.0,2000.0,0.0,1,general,0,0,0,0,0,0,0,0,0,0,10000.0,0.02,8000.0,2800000.0,7500.0,2810500.0,200.0,7.02625,2002.0,0,0.002668564312399929,0.5167852034259028,0.5228259946648433,0.6810149868405923,-0.4576360044028855,0.2684551037899132,-0.4339707637529763,-0.4339551629763159,1.8136864439663962,2.1533769599419195,-0.49794729611604754,-0.4339707637529763,1.8136864439663962,-0.09981562010583135,-0.9171797131934107,1,0,Premium
AU Bank LIT Credit Card,AUBank,0,0,2.0,0.0,3.5,2.0,0.25,0,0,OTT Dining Travel,"Activate only the benefits you need. Choose from OTT subscriptions, lounge access, or fuel benefits. Pay only for activated features.",AUBank,"Activate only the benefits you need. Choose from OTT subscriptions, lounge access, or fuel benefits. Pay only for activated features.",0.0,0.0,2.0,0.0,,,2.0,200.0,0.0,0.0,0.0,0,general,0,0,0,0,0,0,0,0,0,0,0.0,0.5,200000.0,0.0,0.0,200000.0,5000.0,0.5,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.5238227350414963,0.2847847634464604,-0.5926273045928272,0.15030100992161494,0.12409835956738417,-0.385618866746867,-0.4674379541314951,-0.49794729611604754,0.1503010099216149,-0.3856188667468671,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
AU Bank Altura Plus Credit Card,AUBank,499,499,2.0,4.0,3.5,2.5,0.25,80000,500,Dining Grocery,2 reward points per Rs.100 on retail. 5X on grocery and dining. 4 lounge visits. Fuel surcharge waiver.,AUBank,2 reward points per Rs.100 on retail. 5X on grocery and dining. 4 lounge visits. Fuel surcharge waiver.,499.0,499.0,2.5,80000.0,2.0,100.0,0.02,200.0,500.0,4.0,0.0,0,dining,0,0,0,0,0,0,0,0,0,0,500.0,0.005,2120.0,5600.0,0.0,8220.0,50.0,0.02055,4.0,0,0.06070559610705596,-0.33120807613043723,-0.3243744928504826,-0.47748282266141595,-0.46521172652379716,-0.5926273045928272,-0.4522292566803073,-0.45104555210421676,-0.5471905091481655,-0.462201560696783,-0.49794729611604754,-0.4522292566803072,-0.5471905091481655,-0.09942265217403667,0.5998851097102851,0,1,Entry_Level
AU Bank Zenith Plus Credit Card,AUBank,4999,4999,4.0,8.0,1.99,10.0,0.5,400000,5000,Dining Travel Lifestyle,4 reward points per Rs.100. 8 lounge visits. Low forex. Dining and hotel discounts. Milestone bonus at 4L annual spend.,AUBank,4 reward points per Rs.100. 8 lounge visits. Low forex. Dining and hotel discounts. Milestone bonus at 4L annual spend.,4999.0,4999.0,10.0,400000.0,4.0,100.0,0.04,400.0,5000.0,8.0,0.0,1,travel,0,0,0,0,0,0,0,0,0,0,5000.0,0.02,8700.0,11200.0,0.0,24900.0,200.0,0.06225,10.0,0,0.20076305220883534,0.21385259491706032,0.22017659896768146,0.21761586303978897,-0.4576360044028855,0.2684551037899132,-0.4339707637529763,-0.43192059284204204,-0.5331378707330353,-0.4543469705447148,-0.49794729611604754,-0.4339707637529763,-0.5331378707330354,-0.09847432509467338,-0.9272934786794353,0,1,Entry_Level
Bank of Baroda Prime Credit Card,BankOfBaroda,499,499,2.0,2.0,3.5,2.0,0.25,75000,0,Dining Grocery OTT,"2 reward points per Rs.100. 10X on dining, grocery, OTT. 2 airport lounge visits per year.",BankOfBaroda,"2 reward points per Rs.100. 10X on dining, grocery, OTT. 2 airport lounge visits per year.",499.0,499.0,2.0,75000.0,2.0,100.0,0.02,200.0,0.0,2.0,0.0,0,dining,0,0,0,0,0,0,0,0,0,0,0.0,0.005,2120.0,2800.0,0.0,4920.0,50.0,0.0123,2.0,0,0.10142276422764228,-0.33120807613043723,-0.3243744928504826,-0.5238227350414963,-0.46521172652379716,-0.5926273045928272,-0.4522292566803073,-0.45104555210421676,-0.5499707073957631,-0.46481975741413906,-0.49794729611604754,-0.4522292566803072,-0.5499707073957633,-0.09914695679730728,0.5998851097102851,0,1,Entry_Level
IDFC First Bank Credit Card,IDFCFirst,0,0,3.0,4.0,1.99,3.0,0.25,0,0,Travel Dining,Lifetime free with 4 lounge visits. 3X reward points. Low 1.99% forex markup. 10X on first 90 days. Best lifetime-free travel card.,IDFCFirst,Lifetime free with 4 lounge visits. 3X reward points. Low 1.99% forex markup. 10X on first 90 days. Best lifetime-free travel card.,0.0,0.0,3.0,0.0,1.99,100.0,0.0199,1.99,0.0,4.0,0.0,1,travel,0,0,0,0,0,0,0,0,0,0,0.0,0.004975,2164.125,5600.0,0.0,7764.125,49.75,0.0194103125,6.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.43114291028133567,-0.4652496051344017,-0.5926273045928272,-0.4522596875018528,-0.4509173015225384,-0.5475745766863848,-0.45958336397942695,-0.49794729611604754,-0.4522596875018528,-0.5475745766863848,-0.09983368891752412,-0.9272934786794353,0,1,Entry_Level
IDFC First Bank Wealth Credit Card,IDFCFirst,0,0,6.0,2004.0,1.5,18.0,0.25,0,0,Travel Lifestyle Priority Pass,Lifetime free. 6X reward points on all categories. Unlimited airport lounge via Priority Pass. 1.5% low forex. Best premium no-fee card.,IDFCFirst,Lifetime free. 6X reward points on all categories. Unlimited airport lounge via Priority Pass. 1.5% low forex. Best premium no-fee card.,0.0,0.0,18.0,0.0,1.5,100.0,0.015,1.5,0.0,2000.0,4.0,1,general,0,0,0,0,0,0,0,0,0,0,0.0,0.00375,1500.0,2809200.0,0.0,2810700.0,37.5,7.02675,2010.0,0,0.0,-0.39164924831992637,-0.3847591583654301,0.9590544611210743,-0.4671056570540251,-0.5926273045928272,-0.45375079775758487,-0.4528475999374308,1.813854940829887,2.163849746811344,-0.49794729611604754,-0.4537507977575848,1.8138549408298867,-0.09983368891752412,-1.4228679874946426,1,0,Premium
OneCard Credit Card,OneCard,0,0,5.0,0.0,1.0,3.0,1.0,0,0,All merchants 5X,5X reward coins on top 2 spend categories each month. Zero annual fee. Low 1% forex. Metal card. Best flexible rewards card.,OneCard,5X reward coins on top 2 spend categories each month. Zero annual fee. Low 1% forex. Metal card. Best flexible rewards card.,0.0,0.0,3.0,0.0,1.0,100.0,0.01,1.0,5.0,0.0,0.0,1,general,0,0,0,0,0,0,0,0,0,0,5.0,0.01,4000.0,0.0,0.0,4005.0,100.0,0.0100125,2.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.43114291028133567,-0.46899958758425303,1.9906199205553938,-0.4461430923711969,-0.4455812780293097,-0.5507415805462335,-0.46481975741413906,-0.49794729611604754,-0.4461430923711969,-0.5507415805462335,-0.09983368891752412,-1.9285562617958747,0,1,Entry_Level
Slice Credit Card,Slice,0,0,1.0,0.0,3.5,1.5,1.0,0,0,All merchants,1-2% cashback on all spends. Zero annual fee. Instant approval. Best for students and first-time credit card users.,Slice,1-2% cashback on all spends. Zero annual fee. Instant approval. Best for students and first-time credit card users.,0.0,0.0,1.5,0.0,2.0,100.0,0.02,2.0,1.0,0.0,0.0,0,cashback,0,0,0,0,0,0,0,0,0,0,1.0,0.02,8000.0,0.0,0.0,8001.0,200.0,0.0200025,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.5701626474215766,-0.46521172652379716,1.9906199205553938,-0.4339707637529763,-0.4339551629763159,-0.5473750132136879,-0.4674379541314951,-0.49794729611604754,-0.4339707637529763,-0.547375013213688,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
HDFC Freedom Credit Card,HDFC,0,0,1.0,0.0,3.5,1.5,0.25,0,0,Dining Movies Grocery,"Lifetime free. 5X CashPoints on EMI, dining, grocery, movie spends. 1X on all others. Best zero-fee HDFC starter card.",HDFC,"Lifetime free. 5X CashPoints on EMI, dining, grocery, movie spends. 1X on all others. Best zero-fee HDFC starter card.",0.0,0.0,1.5,0.0,,,1.0,100.0,0.0,0.0,0.0,0,dining,0,0,0,0,0,0,0,0,0,0,0.0,0.25,106000.0,0.0,0.0,106000.0,2500.0,0.265,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.5701626474215766,-0.09400134259912422,-0.5926273045928272,-0.15400720553390132,-0.149115344177969,-0.4648123925875285,-0.4674379541314951,-0.49794729611604754,-0.15400720553390132,-0.4648123925875286,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
HDFC Swiggy Credit Card,HDFC,500,500,10.0,0.0,3.5,2.5,1.0,200000,0,Swiggy Instamart Dineout,10% cashback on Swiggy orders and Instamart. 5% on online purchases. 1% on other spends. Waived on 2L annual spend.,HDFC,10% cashback on Swiggy orders and Instamart. 5% on online purchases. 1% on other spends. Waived on 2L annual spend.,500.0,500.0,2.5,200000.0,10.0,100.0,0.1,10.0,5.0,0.0,0.0,0,dining,0,0,0,0,0,0,1,0,0,1,5.0,0.1,42400.0,1200.0,0.0,43605.0,1000.0,0.1090125,0.0,1,0.011466574934067194,-0.3310869515368711,-0.3242534814967452,-0.47748282266141595,-0.4349088380401504,1.9906199205553938,-0.33659213480721106,-0.33397057352056964,-0.5173792015750611,-0.4674379541314951,0.5827042826889919,-0.33659213480721106,-0.5173792015750612,-0.09975604889877623,0.5998851097102851,0,1,Entry_Level
HDFC IRCTC Credit Card,HDFC,500,500,5.0,0.0,3.5,2.0,0.25,100000,0,IRCTC,5% value back on IRCTC rail bookings. 1 reward point per Rs.100 on other spends. Best card for frequent train travellers.,HDFC,5% value back on IRCTC rail bookings. 1 reward point per Rs.100 on other spends. Best card for frequent train travellers.,500.0,500.0,2.0,100000.0,1.0,100.0,0.01,500.0,1.0,0.0,0.0,0,travel,0,0,0,0,0,0,0,0,0,0,1.0,0.0025,1087.5,0.0,0.0,1088.5,25.0,0.00272125,0.0,0,0.4593477262287552,-0.3310869515368711,-0.3242534814967452,-0.5238227350414963,-0.46899958758425303,-0.5926273045928272,-0.45527233883486246,-0.45404654305227077,-0.5531986860580875,-0.4674379541314951,-0.49794729611604754,-0.4552723388348624,-0.5531986860580876,-0.09672345187801853,0.5998851097102851,0,1,Entry_Level
HDFC Bharat Credit Card,HDFC,0,0,5.0,0.0,3.5,1.5,0.25,0,0,BPCL grocery,"5X CashPoints on BPCL fuel, grocery, movie and dining. Lifetime free. Designed for Bharat consumers with low income eligibility.",HDFC,"5X CashPoints on BPCL fuel, grocery, movie and dining. Lifetime free. Designed for Bharat consumers with low income eligibility.",0.0,0.0,1.5,0.0,,,5.0,500.0,0.0,0.0,0.0,0,dining,0,0,0,0,0,0,0,0,0,0,0.0,1.25,530000.0,0.0,0.0,530000.0,12500.0,1.325,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.5701626474215766,1.4211430815832145,-0.5926273045928272,1.063225656288164,1.083252851439369,-0.10759904198709805,-0.4674379541314951,-0.49794729611604754,1.0632256562881635,-0.10759904198709813,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
